"Tabela","Coluna","Problema","Severidade","TipoBanco","TipoModelo"
"Contrato","NotaFiscalId","PROPRIEDADE_EXTRA","MEDIO","N/A","Guid"
"CorridasCanceladasTaxiLeg","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"CorridasTaxiLeg","QRU","TIPO_INCOMPATIVEL","CRITICO","int?","string?"
"CorridasTaxiLeg","Valor","COLUNA_NAO_MAPEADA","ALTO","double?","N/A"
"CorridasTaxiLeg","VeiculoId","PROPRIEDADE_EXTRA","MEDIO","N/A","Guid"
"CorridasTaxiLeg","MotoristaId","PROPRIEDADE_EXTRA","MEDIO","N/A","Guid"
"CorridasTaxiLeg","AbastecimentoId","PROPRIEDADE_EXTRA","MEDIO","N/A","Guid"
"CorridasTaxiLeg","CombustivelId","PROPRIEDADE_EXTRA","MEDIO","N/A","Guid"
"CustoMensalItensContrato","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"DocumentoContrato","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"Empenho","ContratoList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>"
"Empenho","Empenho","PROPRIEDADE_EXTRA","MEDIO","N/A","Empenho"
"Empenho","AtaList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>"
"EmpenhoMulta","OrgaoList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>"
"EmpenhoMulta","EmpenhoMulta","PROPRIEDADE_EXTRA","MEDIO","N/A","EmpenhoMulta"
"Encarregado","ContratoList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Encarregado","NomeUsuarioAlteracao","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"Encarregado","Encarregado","PROPRIEDADE_EXTRA","MEDIO","N/A","Encarregado?"
"Encarregado","ArquivoFoto","PROPRIEDADE_EXTRA","MEDIO","N/A","IFormFile?"
"EncarregadoContrato","EncarregadoContrato","PROPRIEDADE_EXTRA","MEDIO","N/A","EncarregadoContrato?"
"Evento","Evento","PROPRIEDADE_EXTRA","MEDIO","N/A","Evento"
"ItemVeiculoAta","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"ItemVeiculoContrato","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"ItensManutencao","DataOS","PROPRIEDADE_EXTRA","MEDIO","N/A","string"
"ItensManutencao","NumOS","PROPRIEDADE_EXTRA","MEDIO","N/A","string"
"Lavador","ContratoList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>"
"Lavador","NomeUsuarioAlteracao","PROPRIEDADE_EXTRA","MEDIO","N/A","string"
"Lavador","ArquivoFoto","PROPRIEDADE_EXTRA","MEDIO","N/A","IFormFile?"
"Lavador","Lavador","PROPRIEDADE_EXTRA","MEDIO","N/A","Lavador"
"LavadorContrato","LavadorContrato","PROPRIEDADE_EXTRA","MEDIO","N/A","LavadorContrato"
"Lavagem","Horario","COLUNA_NAO_MAPEADA","ALTO","DateTime?","N/A"
"Lavagem","HorarioLavagem","PROPRIEDADE_EXTRA","MEDIO","N/A","DateTime?"
"Manutencao","Manutencao","PROPRIEDADE_EXTRA","MEDIO","N/A","Manutencao?"
"MediaCombustivel","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"ModeloVeiculo","MarcaList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"ModeloVeiculo","ModeloVeiculo","PROPRIEDADE_EXTRA","MEDIO","N/A","ModeloVeiculo?"
"Motorista","CondutorId","COLUNA_NAO_MAPEADA","ALTO","Guid?","N/A"
"Motorista","ContratoList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Motorista","NomeUsuarioAlteracao","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"Motorista","UnidadeList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Motorista","ArquivoFoto","PROPRIEDADE_EXTRA","MEDIO","N/A","IFormFile?"
"Motorista","Motorista","PROPRIEDADE_EXTRA","MEDIO","N/A","Motorista?"
"Motorista","CondutorList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"MotoristaContrato","MotoristaContrato","PROPRIEDADE_EXTRA","MEDIO","N/A","MotoristaContrato?"
"MovimentacaoEmpenho","EmpenhoList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"MovimentacaoEmpenho","MovimentacaoEmpenho","PROPRIEDADE_EXTRA","MEDIO","N/A","MovimentacaoEmpenho?"
"MovimentacaoEmpenhoMulta","EmpenhoMultaList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"MovimentacaoEmpenhoMulta","MovimentacaoEmpenhoMulta","PROPRIEDADE_EXTRA","MEDIO","N/A","MovimentacaoEmpenhoMulta?"
"MovimentacaoPatrimonio","PatrimonioNome","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"MovimentacaoPatrimonio","MovimentacaoPatrimonio","PROPRIEDADE_EXTRA","MEDIO","N/A","MovimentacaoPatrimonio?"
"MovimentacaoPatrimonio","SecaoDestinoNome","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"MovimentacaoPatrimonio","NomeUsuarioAlteracao","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"MovimentacaoPatrimonio","SetorOrigemNome","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"MovimentacaoPatrimonio","SetorDestinoNome","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"MovimentacaoPatrimonio","SecaoOrigemNome","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"Multa","TipoMultaList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Multa","VeiculoList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Multa","Multa","PROPRIEDADE_EXTRA","MEDIO","N/A","Multa?"
"Multa","EmpenhoList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Multa","OrgaoList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Multa","MotoristaList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"NotaFiscal","EmpenhoList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"NotaFiscal","ContratoList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"NotaFiscal","CustoMensalMotorista","PROPRIEDADE_EXTRA","MEDIO","N/A","double?"
"NotaFiscal","MediaGasolina","PROPRIEDADE_EXTRA","MEDIO","N/A","double?"
"NotaFiscal","AtaList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"NotaFiscal","CustoMensalOperador","PROPRIEDADE_EXTRA","MEDIO","N/A","double?"
"NotaFiscal","NotaFiscal","PROPRIEDADE_EXTRA","MEDIO","N/A","NotaFiscal?"
"NotaFiscal","MediaDiesel","PROPRIEDADE_EXTRA","MEDIO","N/A","double?"
"NotaFiscal","CustoMensalLavador","PROPRIEDADE_EXTRA","MEDIO","N/A","double?"
"Operador","ContratoList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Operador","NomeUsuarioAlteracao","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"Operador","ArquivoFoto","PROPRIEDADE_EXTRA","MEDIO","N/A","IFormFile?"
"Operador","Operador","PROPRIEDADE_EXTRA","MEDIO","N/A","Operador?"
"OperadorContrato","OperadorContrato","PROPRIEDADE_EXTRA","MEDIO","N/A","OperadorContrato?"
"Patrimonio","MarcaList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Patrimonio","SetorList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Patrimonio","SecaoList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Patrimonio","Patrimonio","PROPRIEDADE_EXTRA","MEDIO","N/A","Patrimonio?"
"PlacaBronze","PlacaBronze","PROPRIEDADE_EXTRA","MEDIO","N/A","PlacaBronze?"
"PlacaBronze","VeiculoId","PROPRIEDADE_EXTRA","MEDIO","N/A","Guid"
"Recurso","HasChild","PROPRIEDADE_EXTRA","MEDIO","N/A","bool"
"Recurso","Recurso","PROPRIEDADE_EXTRA","MEDIO","N/A","Recurso?"
"RegistroCupomAbastecimento","RegistroCupomAbastecimento","PROPRIEDADE_EXTRA","MEDIO","N/A","RegistroCupomAbastecimento?"
"RepactuacaoAta","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"RepactuacaoContrato","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"RepactuacaoServicos","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"RepactuacaoTerceirizacao","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"Requisitante","SetorSolicitanteList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Requisitante","Requisitante","PROPRIEDADE_EXTRA","MEDIO","N/A","Requisitante?"
"SetorSolicitante","NomeUsuarioAlteracao","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"SetorSolicitante","SetorSolicitante","PROPRIEDADE_EXTRA","MEDIO","N/A","SetorSolicitante?"
"Veiculo","NomeUsuarioAlteracao","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"Veiculo","UnidadeList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Veiculo","Veiculo","PROPRIEDADE_EXTRA","MEDIO","N/A","Veiculo?"
"Veiculo","AtaList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Veiculo","AspNetUsersList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Veiculo","MarcaList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Veiculo","ModeloList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Veiculo","CombustivelList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Veiculo","ItemVeiculoList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Veiculo","ContratoList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"Veiculo","PlacaBronzeList","PROPRIEDADE_EXTRA","MEDIO","N/A","IEnumerable<SelectListItem>?"
"VeiculoAta","VeiculoAta","PROPRIEDADE_EXTRA","MEDIO","N/A","VeiculoAta?"
"VeiculoContrato","VeiculoContrato","PROPRIEDADE_EXTRA","MEDIO","N/A","VeiculoContrato?"
"VeiculoPadraoViagem","VeiculoPadraoViagemId","COLUNA_NAO_MAPEADA","ALTO","int","N/A"
"VeiculoPadraoViagem","AvgDuracaoMinutos","COLUNA_NAO_MAPEADA","ALTO","decimal?","N/A"
"VeiculoPadraoViagem","DesvioPadraoDuracaoMinutos","COLUNA_NAO_MAPEADA","ALTO","decimal?","N/A"
"VeiculoPadraoViagem","MinDuracaoMinutos","COLUNA_NAO_MAPEADA","ALTO","int?","N/A"
"VeiculoPadraoViagem","MaxDuracaoNormalMinutos","COLUNA_NAO_MAPEADA","ALTO","int?","N/A"
"VeiculoPadraoViagem","MedianaDuracaoMinutos","COLUNA_NAO_MAPEADA","ALTO","int?","N/A"
"VeiculoPadraoViagem","AvgKmPorViagem","COLUNA_NAO_MAPEADA","ALTO","decimal?","N/A"
"VeiculoPadraoViagem","DesvioPadraoKm","COLUNA_NAO_MAPEADA","ALTO","decimal?","N/A"
"VeiculoPadraoViagem","MaxKmNormalPorViagem","COLUNA_NAO_MAPEADA","ALTO","decimal?","N/A"
"VeiculoPadraoViagem","MedianaKm","COLUNA_NAO_MAPEADA","ALTO","decimal?","N/A"
"VeiculoPadraoViagem","Q1Km","COLUNA_NAO_MAPEADA","ALTO","decimal?","N/A"
"VeiculoPadraoViagem","Q3Km","COLUNA_NAO_MAPEADA","ALTO","decimal?","N/A"
"VeiculoPadraoViagem","IQRKm","COLUNA_NAO_MAPEADA","ALTO","decimal?","N/A"
"VeiculoPadraoViagem","LimiteInferiorKm","COLUNA_NAO_MAPEADA","ALTO","decimal?","N/A"
"VeiculoPadraoViagem","LimiteSuperiorKm","COLUNA_NAO_MAPEADA","ALTO","decimal?","N/A"
"VeiculoPadraoViagem","MedianaMinutos","COLUNA_NAO_MAPEADA","ALTO","decimal?","N/A"
"VeiculoPadraoViagem","AvgKmPorDia","COLUNA_NAO_MAPEADA","ALTO","decimal?","N/A"
"VeiculoPadraoViagem","TotalViagensAnalisadas","COLUNA_NAO_MAPEADA","ALTO","int?","N/A"
"VeiculoPadraoViagem","TotalViagensRealizadas","COLUNA_NAO_MAPEADA","ALTO","int?","N/A"
"VeiculoPadraoViagem","Percentil95Duracao","COLUNA_NAO_MAPEADA","ALTO","int?","N/A"
"VeiculoPadraoViagem","Percentil99Duracao","COLUNA_NAO_MAPEADA","ALTO","int?","N/A"
"VeiculoPadraoViagem","DataCriacao","COLUNA_NAO_MAPEADA","ALTO","DateTime?","N/A"
"VeiculoPadraoViagem","MediaKmPorViagem","PROPRIEDADE_EXTRA","MEDIO","N/A","decimal?"
"VeiculoPadraoViagem","MediaKmPorDia","PROPRIEDADE_EXTRA","MEDIO","N/A","decimal?"
"VeiculoPadraoViagem","TotalViagens","PROPRIEDADE_EXTRA","MEDIO","N/A","int"
"VeiculoPadraoViagem","MediaDuracaoMinutos","PROPRIEDADE_EXTRA","MEDIO","N/A","decimal?"
"Viagem","DataFinalizacao","TIPO_INCOMPATIVEL","CRITICO","DateTime?","string?"
"Viagem","ResumoOcorrencia","COLUNA_NAO_MAPEADA","ALTO","string","N/A"
"Viagem","DescricaoOcorrencia","COLUNA_NAO_MAPEADA","ALTO","string","N/A"
"Viagem","StatusOcorrencia","COLUNA_NAO_MAPEADA","ALTO","string","N/A"
"Viagem","DescricaoSolucaoOcorrencia","COLUNA_NAO_MAPEADA","ALTO","string","N/A"
"Viagem","ItemManutencaoId","COLUNA_NAO_MAPEADA","ALTO","Guid?","N/A"
"Viagem","AgendamentoTMP","COLUNA_NAO_MAPEADA","ALTO","string","N/A"
"Viagem","DatasSelecionadas","TIPO_INCOMPATIVEL","CRITICO","string","List<DateTime>?"
"Viagem","DanoAvaria","COLUNA_NAO_MAPEADA","ALTO","string","N/A"
"Viagem","DanoAvariaFinal","COLUNA_NAO_MAPEADA","ALTO","string","N/A"
"Viagem","FotosBase64","COLUNA_NAO_MAPEADA","ALTO","byte[]","N/A"
"Viagem","VideosBase64","COLUNA_NAO_MAPEADA","ALTO","byte[]","N/A"
"Viagem","FotosFinaisBase64","COLUNA_NAO_MAPEADA","ALTO","byte[]","N/A"
"Viagem","VideosFinaisBase64","COLUNA_NAO_MAPEADA","ALTO","byte[]","N/A"
"Viagem","Id","COLUNA_NAO_MAPEADA","ALTO","int","N/A"
"Viagem","OperacaoBemSucedida","PROPRIEDADE_EXTRA","MEDIO","N/A","bool?"
"Viagem","CriarViagemFechada","PROPRIEDADE_EXTRA","MEDIO","N/A","bool"
"Viagem","Viagem","PROPRIEDADE_EXTRA","MEDIO","N/A","Viagem?"
"Viagem","NomeUsuarioCriacao","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"Viagem","NomeUsuarioFinalizacao","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"Viagem","Hora","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"Viagem","HoraInicial","PROPRIEDADE_EXTRA","MEDIO","N/A","DateTime?"
"Viagem","CartaoAbastecimentoEntregue","PROPRIEDADE_EXTRA","MEDIO","N/A","bool?"
"Viagem","Ocorrencias","PROPRIEDADE_EXTRA","MEDIO","N/A","List<OcorrenciaFinalizacaoDTO>?"
"Viagem","CartaoAbastecimentoDevolvido","PROPRIEDADE_EXTRA","MEDIO","N/A","bool?"
"Viagem","editarTodosRecorrentes","PROPRIEDADE_EXTRA","MEDIO","N/A","bool?"
"Viagem","HoraFinalizacao","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"Viagem","Data","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"Viagem","Resumo","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"Viagem","NomeUsuarioCancelamento","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"Viagem","EditarAPartirData","PROPRIEDADE_EXTRA","MEDIO","N/A","DateTime?"
"Viagem","DocumentoEntregue","PROPRIEDADE_EXTRA","MEDIO","N/A","bool?"
"Viagem","NomeUsuarioAgendamento","PROPRIEDADE_EXTRA","MEDIO","N/A","string?"
"Viagem","DocumentoDevolvido","PROPRIEDADE_EXTRA","MEDIO","N/A","bool?"
"Viagem","ArquivoFoto","PROPRIEDADE_EXTRA","MEDIO","N/A","IFormFile?"
"Viagem","DataEspecifica","PROPRIEDADE_EXTRA","MEDIO","N/A","List<DateTime>?"
"Viagem_Backup_OrigemDestino","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"ViagemEstatistica","KmTotal","COLUNA_NAO_MAPEADA","ALTO","int?","N/A"
"ViagemEstatistica","KmMedio","COLUNA_NAO_MAPEADA","ALTO","decimal?","N/A"
"ViagemEstatistica","MinutosTotal","COLUNA_NAO_MAPEADA","ALTO","int?","N/A"
"ViagemEstatistica","MinutosMedio","COLUNA_NAO_MAPEADA","ALTO","int?","N/A"
"WhatsAppContatos","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"WhatsAppFilaMensagens","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"WhatsAppInstancias","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"WhatsAppMensagens","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"WhatsAppWebhookLogs","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
"(926 rows affected)","N/A","TABELA_SEM_MODELO","BAIXO","N/A","N/A"
